section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,62640.02,USD,Binance,ok,2026-06-04 10:37:02 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,150993409842.06,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$59,718-$68,460 | above | 2.31% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$59,718-$68,460",,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"center=$64,089, above, dist=2.31%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,7576972129.48,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$69,267-$69,805 | above | 11.01% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$69,267-$69,805",,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"center=$69,536, above, dist=11.01%"
Heatmap,short_liq_zone_1_24h,Short Liq Zone 1 Above (24h),24h,150993409842.06,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$59,718-$68,460 | 2.31% above"
Heatmap,short_liq_zone_2_24h,Short Liq Zone 2 Above (24h),24h,7576972129.48,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$69,267-$69,805 | 11.01% above"
Heatmap,nearest_above_price_24h,Nearest Cluster Above (24h),24h,"$64,089",USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"dist=2.31%, vol=150.99B"
Heatmap,nearest_above_dist_24h,Nearest Above Dist (24h),24h,2.313,%,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,nearest_above_vol_24h,Nearest Above Volume (24h),24h,150993409842.06,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,liquidity_magnet_24h,Liquidity Magnet (24h),24h,"$64,089",USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"above, dist=2.31%, vol=150.99B"
Heatmap,liquidity_vacuum_24h,Liquidity Vacuum Gap (24h),24h,5447.0,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$64,089-$69,536 | 8.70% of price"
Heatmap,bucket_0.5%_below_24h,Vol 0.5% Below (24h),24h,2545328005.1,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_0.5%_above_24h,Vol 0.5% Above (24h),24h,3749441024.16,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_0.5%_imbalance_24h,Imbalance 0.5% (24h),24h,1.4731,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_1.0%_below_24h,Vol 1.0% Below (24h),24h,4158938515.39,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_1.0%_above_24h,Vol 1.0% Above (24h),24h,8548450697.81,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_1.0%_imbalance_24h,Imbalance 1.0% (24h),24h,2.0554,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_2.0%_below_24h,Vol 2.0% Below (24h),24h,11318237399.91,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_2.0%_above_24h,Vol 2.0% Above (24h),24h,12111444396.35,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_2.0%_imbalance_24h,Imbalance 2.0% (24h),24h,1.0701,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_3.0%_below_24h,Vol 3.0% Below (24h),24h,15888297845.31,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_3.0%_above_24h,Vol 3.0% Above (24h),24h,22259468856.03,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_3.0%_imbalance_24h,Imbalance 3.0% (24h),24h,1.401,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_5.0%_below_24h,Vol 5.0% Below (24h),24h,18119966545.97,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_5.0%_above_24h,Vol 5.0% Above (24h),24h,48617919731.48,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_5.0%_imbalance_24h,Imbalance 5.0% (24h),24h,2.6831,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,cluster_count_24h,Cluster Count (24h),24h,2,,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,total_volume_24h,Total Heatmap Volume (24h),24h,158570381971.54,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,top_zone_1_vol_3d,Top Zone 1 Volume (3d),3d,581419929684.14,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$59,720-$75,678 | above | 8.08% from price"
Heatmap,top_zone_1_range_3d,Top Zone 1 Range (3d),3d,"$59,720-$75,678",,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"center=$67,699, above, dist=8.08%"
Heatmap,short_liq_zone_1_3d,Short Liq Zone 1 Above (3d),3d,581419929684.14,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"$59,720-$75,678 | 8.08% above"
Heatmap,nearest_above_price_3d,Nearest Cluster Above (3d),3d,"$67,699",USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"dist=8.08%, vol=581.42B"
Heatmap,nearest_above_dist_3d,Nearest Above Dist (3d),3d,8.076,%,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,nearest_above_vol_3d,Nearest Above Volume (3d),3d,581419929684.14,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,liquidity_magnet_3d,Liquidity Magnet (3d),3d,"$67,699",USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,"above, dist=8.08%, vol=581.42B"
Heatmap,bucket_0.5%_below_3d,Vol 0.5% Below (3d),3d,843042306.54,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_0.5%_above_3d,Vol 0.5% Above (3d),3d,1295464998.93,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_0.5%_imbalance_3d,Imbalance 0.5% (3d),3d,1.5367,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_1.0%_below_3d,Vol 1.0% Below (3d),3d,1459170683.66,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_1.0%_above_3d,Vol 1.0% Above (3d),3d,2811273048.41,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_1.0%_imbalance_3d,Imbalance 1.0% (3d),3d,1.9266,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_2.0%_below_3d,Vol 2.0% Below (3d),3d,4028991822.5,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_2.0%_above_3d,Vol 2.0% Above (3d),3d,9121903744.8,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_2.0%_imbalance_3d,Imbalance 2.0% (3d),3d,2.2641,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_3.0%_below_3d,Vol 3.0% Below (3d),3d,5631158615.82,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_3.0%_above_3d,Vol 3.0% Above (3d),3d,22333049704.5,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_3.0%_imbalance_3d,Imbalance 3.0% (3d),3d,3.966,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,bucket_5.0%_below_3d,Vol 5.0% Below (3d),3d,6437364702.29,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_5.0%_above_3d,Vol 5.0% Above (3d),3d,52292737454.84,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,bucket_5.0%_imbalance_3d,Imbalance 5.0% (3d),3d,8.1233,above/below,liqHeatMap,ok,2026-06-04 10:37:02 UTC,">1=more above, <1=more below"
Heatmap,cluster_count_3d,Cluster Count (3d),3d,1,,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Heatmap,total_volume_3d,Total Heatmap Volume (3d),3d,581419929684.14,USD,liqHeatMap,ok,2026-06-04 10:37:02 UTC,
Derivatives,funding_current,Current Funding Rate,8h,0.12584,%,fundingRate/v2/history/chart,ok,2026-06-04 10:37:02 UTC,
Derivatives,funding_avg_24h,Funding Rate Avg 24h,24h,0.09692,%,fundingRate/v2/history/chart,ok,2026-06-04 10:37:02 UTC,
Derivatives,funding_avg_7d,Funding Rate Avg 7d,7d,0.46059,%,fundingRate/v2/history/chart,ok,2026-06-04 10:37:02 UTC,
Derivatives,funding_zscore,Funding Rate Z-Score,all,0.028,sigma,fundingRate/v2/history/chart,ok,2026-06-04 10:37:02 UTC,vs full history window
Derivatives,funding_state,Funding State,current,overheated_long,,fundingRate/v2/history/chart,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_total_current,Total OI (All Exchanges),current,48163851870.0,USD,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_delta_24h,OI Chg24h,24h,-11.191,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_delta_7d,OI Chg7d,7d,-21.56,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_binance,OI Binance,current,8837666715.26288,USD,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_binance_24h_chg,OI Binance Chg24h,24h,-8.63,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_cme,OI CME,current,6346004731.0,USD,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_cme_24h_chg,OI CME Chg24h,24h,-7.38,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_bybit,OI Bybit,current,4181192918.47,USD,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_bybit_24h_chg,OI Bybit Chg24h,24h,-10.11,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_okx,OI OKX,current,3060362904.767203,USD,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,oi_okx_24h_chg,OI OKX Chg24h,24h,-6.39,%,openInterest,ok,2026-06-04 10:37:02 UTC,
Derivatives,coinbase_premium_current,Coinbase Premium,current,-78.82,%,kline/coinbase_premium,ok,2026-06-04 10:37:02 UTC,
Derivatives,coinbase_premium_1h,Coinbase Premium 1h avg,1h,-78.255,%,kline/coinbase_premium,ok,2026-06-04 10:37:02 UTC,
Derivatives,coinbase_premium_24h,Coinbase Premium 24h avg,24h,-90.88729,%,kline/coinbase_premium,ok,2026-06-04 10:37:02 UTC,
Derivatives,coinbase_premium_state,Coinbase Premium State,current,negative,,kline/coinbase_premium,ok,2026-06-04 10:37:02 UTC,
