section,metric_key,label,timeframe,value,unit,source,status,updated_at,notes
Heatmap,current_price,Current BTC Price,current,76527.3,USD,Binance,ok,2026-05-30 16:08:07 UTC,
Heatmap,top_zone_1_vol_24h,Top Zone 1 Volume (24h),24h,48236474904.58,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$76,806-$78,096 | above | 1.21% from price"
Heatmap,top_zone_1_range_24h,Top Zone 1 Range (24h),24h,"$76,806-$78,096",,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"center=$77,451, above, dist=1.21%"
Heatmap,top_zone_2_vol_24h,Top Zone 2 Volume (24h),24h,24795157224.3,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$74,507-$75,012 | below | 2.31% from price"
Heatmap,top_zone_2_range_24h,Top Zone 2 Range (24h),24h,"$74,507-$75,012",,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"center=$74,759, below, dist=2.31%"
Heatmap,top_zone_3_vol_24h,Top Zone 3 Volume (24h),24h,22112426780.03,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$75,292-$75,797 | below | 1.28% from price"
Heatmap,top_zone_3_range_24h,Top Zone 3 Range (24h),24h,"$75,292-$75,797",,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"center=$75,544, below, dist=1.28%"
Heatmap,top_zone_4_vol_24h,Top Zone 4 Volume (24h),24h,6923985767.82,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$79,049-$79,609 | above | 3.66% from price"
Heatmap,top_zone_4_range_24h,Top Zone 4 Range (24h),24h,"$79,049-$79,609",,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"center=$79,329, above, dist=3.66%"
Heatmap,top_zone_5_vol_24h,Top Zone 5 Volume (24h),24h,6909491656.62,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$72,993-$73,498 | below | 4.29% from price"
Heatmap,top_zone_5_range_24h,Top Zone 5 Range (24h),24h,"$72,993-$73,498",,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"center=$73,246, below, dist=4.29%"
Heatmap,long_liq_zone_1_24h,Long Liq Zone 1 Below (24h),24h,24795157224.3,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$74,507-$75,012 | 2.31% below"
Heatmap,long_liq_zone_2_24h,Long Liq Zone 2 Below (24h),24h,22112426780.03,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$75,292-$75,797 | 1.28% below"
Heatmap,long_liq_zone_3_24h,Long Liq Zone 3 Below (24h),24h,6909491656.62,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$72,993-$73,498 | 4.29% below"
Heatmap,short_liq_zone_1_24h,Short Liq Zone 1 Above (24h),24h,48236474904.58,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$76,806-$78,096 | 1.21% above"
Heatmap,short_liq_zone_2_24h,Short Liq Zone 2 Above (24h),24h,6923985767.82,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$79,049-$79,609 | 3.66% above"
Heatmap,short_liq_zone_3_24h,Short Liq Zone 3 Above (24h),24h,3998887443.26,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"$78,432-$78,768 | 2.71% above"
Heatmap,nearest_below_price_24h,Nearest Cluster Below (24h),24h,"$76,329",USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"dist=0.26%, vol=4.06B"
Heatmap,nearest_below_dist_24h,Nearest Below Dist (24h),24h,0.259,%,liqHeatMap,ok,2026-05-30 16:08:07 UTC,
Heatmap,nearest_below_vol_24h,Nearest Below Volume (24h),24h,4063851641.85,USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,
Heatmap,nearest_above_price_24h,Nearest Cluster Above (24h),24h,"$77,451",USD,liqHeatMap,ok,2026-05-30 16:08:07 UTC,"dist=1.21%, vol=48.24B"
Heatmap,nearest_above_dist_24h,Nearest Above Dist (24h),24h,1.207,%,liqHeatMap,ok,2026-05-30 16:08:07 UTC,
